La part des anges;Description unavailable;https://www.imdb.com/title/tt0242223/;Genre Unknown;6.4;5;Unknown;
Oro verde;Oro verde is a TV series starring Héctor Noguera, Delfina Guzmán, and Álvaro Rudolphy. An ambitious entrepreneur wants to cut down the forest of southern Chile, but a young ecologist girl will hinder their plans.;https://www.imdb.com/title/tt0242222/;['Drama', 'Romance'];7.5;36;Unknown;
El nieto de Don Mateo (la peluquería);Description unavailable;https://www.imdb.com/title/tt0242221/;Comedy;3.5;15;Unknown;
More Than Words;More Than Words is a TV series starring Kate Keltie. An ABC television children's learning show.;https://www.imdb.com/title/tt0242220/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Meine Frau Susanne;Description unavailable;https://www.imdb.com/title/tt0242219/;Comedy;8.2;39;1963-04-05;
McQueen;Description unavailable;https://www.imdb.com/title/tt0242218/;Drama;No Rating;Total Rating Count N/A;1969-09-23;
Maria Vandamme;Description unavailable;https://www.imdb.com/title/tt0242217/;Genre Unknown;6.5;11;1989-01-16;
Luna Caliente;Luna Caliente is a TV mini-series starring Paulo Betti, Ana Paula Tabalipa, and Júlio Andrade. A charming 'Lolita' seduces a foreigner and throws him into a case of scandal and homicide.;https://www.imdb.com/title/tt0242216/;Genre Unknown;6.8;83;1999-12-15;
Locas por ellos;Description unavailable;https://www.imdb.com/title/tt0242215/;Comedy;No Rating;Total Rating Count N/A;Unknown;
Lo dijo papá;Description unavailable;https://www.imdb.com/title/tt0242214/;Comedy;No Rating;Total Rating Count N/A;1998-01-10;
The Little Lulu Show;The Little Lulu Show is a TV series starring Ajay Fry, Dawn Ford, and Jane Woods. Little Lulu is the first-ever animated stand-up comic. Her best friend Annie is always there for her, and Lulu always has arguments with Tubby and the...;https://www.imdb.com/title/tt0242213/;['Animation', 'Comedy', 'Family'];7.0;663;1995-06-30;
Leaders of the Twentieth Century;Description unavailable;https://www.imdb.com/title/tt0242212/;['Documentary', 'History'];5.6;7;Unknown;
Das Kriminalmuseum;Das Kriminalmuseum is a TV series starring Reinhard Glemnitz, Hans Kern, and Johannes Buzalski. The Crime Museum is the title of a German television crime series.;https://www.imdb.com/title/tt0242211/;['Crime', 'Drama'];9.0;56;1963-04-04;
The Kids from Room 402;The Kids from Room 402 is a TV series starring Dennis Cruzado, Jacob Holden, and Gabrielle Lazarovitz. A tumultuous life of elementary school students.;https://www.imdb.com/title/tt0242210/;['Animation', 'Comedy', 'Family'];8.1;2707;2000-08-29;
The Jim Nabors Show;The Jim Nabors Show is a TV series starring Jim Nabors, Al Able, and Susan Ford. 75 Episodes of a 1-hour Talk/Variety Series hosted by Jim Nabors, the singer and star of "Gomer Pyle," with over 225 celebrity comedy and musical...;https://www.imdb.com/title/tt0242209/;['Comedy', 'Music', 'Talk-Show'];8.1;36;1978-01-09;
Jardins Proibidos;Jardins Proibidos is a TV series starring Vera Kolodzig, Pedro Granger, and Ana Nave. Jardins Proibidos is a Portuguese telenovela originally shown by TVI between September 8, 2014 and October 2, 2015. Produced by Plural...;https://www.imdb.com/title/tt0242208/;Drama;7.1;75;2000-04-08;
JBVO;JBVO is a TV series starring Jeff Bennett, Craig Gordon, and Grey Griffin. Johnny Bravo hosts "your all-request cartoon show".;https://www.imdb.com/title/tt0242207/;Genre Unknown;8.2;13;2000-04-02;
Iorana;Description unavailable;https://www.imdb.com/title/tt0242206/;Genre Unknown;7.6;38;Unknown;
Hotel Herbich;Description unavailable;https://www.imdb.com/title/tt0242205/;Genre Unknown;2.2;13;2000-01-10;
Hal Lindsey;Description unavailable;https://www.imdb.com/title/tt0242204/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Die fünfte Kolonne;Die fünfte Kolonne is a TV series starring Reinhard Glemnitz, Thomas Braut, and Carl Lange. This West German television series is based on real cases of German-German espionage.;https://www.imdb.com/title/tt0242203/;Drama;8.7;51;1963-06-06;
Fuera de Control;Description unavailable;https://www.imdb.com/title/tt0242202/;Drama;8.1;69;Unknown;
Fred Flintstone and Friends;Fred Flintstone and Friends is a TV series starring Henry Corden, Jean Vander Pyl, and Vance Colvig Jr.. Hosted by Fred Flintstone, this show featured a repackaging of The Flintstone Comedy Hour, Goober and the Ghost Chasers,...;https://www.imdb.com/title/tt0242201/;['Animation', 'Family'];7.2;73;1977-09-12;
Wimzie's House;Wimzie's House is a TV series starring Richard M Dumont, Bob Golding, and Kate Harbour. A five year old dragon bird hybrid spends time with her friends at her grandmother's daycare learning new things each day.;https://www.imdb.com/title/tt0242240/;Family;7.7;94;1995-09-27;
What-a-Mess;Description unavailable;https://www.imdb.com/title/tt0242239/;['Animation', 'Family'];7.8;89;1979-12-24;
Top Secret;Description unavailable;https://www.imdb.com/title/tt0242238/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Sucupira;Description unavailable;https://www.imdb.com/title/tt0242237/;['Comedy', 'Drama', 'Romance'];8.4;82;1996-03-11;
Sara;Description unavailable;https://www.imdb.com/title/tt0242236/;Genre Unknown;No Rating;Total Rating Count N/A;1996-07-15;
Sabor a ti;Sabor a ti is a TV series starring Luciano Cruz-Coke, Álvaro Escobar, and Paulina Urrutia. A winemaker arrives to the field due to the death of his grandmother, but slowly discover that in the vineyards there are memories of his...;https://www.imdb.com/title/tt0242234/;Genre Unknown;7.6;27;Unknown;
S.W.A.L.K.;S.W.A.L.K. is a TV series starring Nicola Cowper, Gerry Cowper, and Shirley Stelfox. A teenage girl looks for answers to her problems in teen magazines.;https://www.imdb.com/title/tt0242233/;['Drama', 'Family'];5.6;10;1982-11-09;
Rompecorazón;Rompecorazón is a TV series starring Francisco Reyes, Claudia Di Girólamo, and Carolina Fadic. A millionaire man, decides to fake a suicide and take a false identity, to save himself from a millionaire debt with the treasury.;https://www.imdb.com/title/tt0242232/;Drama;7.1;17;1994-03-14;
Romané;Romané is a TV series starring Claudia Di Girólamo, Francisco Reyes, and Héctor Noguera. A caravan of gypsies arrives in Mejillones, Chile, to celebrate the marriage of their king, without imagining that the repentant arrival of his...;https://www.imdb.com/title/tt0242231/;['Comedy', 'Drama', 'Romance'];7.8;132;2000-03-06;
Il barone;Description unavailable;https://www.imdb.com/title/tt0242190/;Genre Unknown;7.9;9;1995-07-16;
El amor esta de moda;Description unavailable;https://www.imdb.com/title/tt0242189/;Genre Unknown;7.0;7;Unknown;
Amándote;Description unavailable;https://www.imdb.com/title/tt0242188/;Genre Unknown;5.3;6;Unknown;
Ámame;Description unavailable;https://www.imdb.com/title/tt0242187/;['Drama', 'Romance'];6.0;15;1993-08-02;
Fernfahrer;Description unavailable;https://www.imdb.com/title/tt0242199/;['Adventure', 'Drama'];8.7;44;1963-02-17;
Estúpido Cupido;Estúpido Cupido is a TV series starring Claudia Di Girólamo, Claudia Burr, and Carolina Fadic. In 1962, the small town of San Andrés is governed by morality and good manners, the arrival of a new nun will come to change everything.;https://www.imdb.com/title/tt0242198/;['Comedy', 'Drama', 'Romance'];7.4;60;1995-03-13;
Double Dragon;Double Dragon is a TV series starring Jim Byrnes, Garry Chalk, and Michael Donovan. A animated TV series based on the first Double Dragon video game.;https://www.imdb.com/title/tt0242197/;['Animation', 'Action', 'Adventure', 'Family'];6.5;232;1993-09-12;
Crown and Country;Crown and Country is a TV series starring Prince Edward, Philip Bosco, and Yvette Cannon. Join Edward Wessex for a remarkable personal tour of some of the most famous landmarks in British history. As we travel under the Prince's...;https://www.imdb.com/title/tt0242196/;['Documentary', 'History'];8.1;29;1998-09-27;
Crianças SOS;Description unavailable;https://www.imdb.com/title/tt0242195/;Genre Unknown;7.4;16;2000-05-15;
Champaña;Description unavailable;https://www.imdb.com/title/tt0242194/;Genre Unknown;6.5;6;Unknown;
Between the Lions;Between the Lions is a TV series starring Anthony Asbury, Jennifer Barnhart, and Peter Linz. Live-action and animation blend together in this educational fantasy about a family of lions running a library filled with adventurous and...;https://www.imdb.com/title/tt0242192/;['Animation', 'Comedy', 'Family', 'Fantasy', 'Music'];7.1;1116;2000-04-03;
Benidorm;Description unavailable;https://www.imdb.com/title/tt0242191/;Comedy;5.8;26;1989-09-29;
Torajima no Mî me;Description unavailable;https://www.imdb.com/title/tt0242046/;Animation;No Rating;Total Rating Count N/A;1999-08-06;
Tokio kido porisu;Tokio kido porisu is a TV series starring Tomoko Kawakami, Tateo Izumi, and Ryou Matsui. Japan 2034 AD. Crime and violence have reached record highs all around New Tokyo City. Every citizen in Tokyo is involved in some kind of crime...;https://www.imdb.com/title/tt0242043/;['Animation', 'Short', 'Adult', 'Comedy', 'Drama', 'Romance', 'Sci-Fi'];6.3;44;1997-07-27;
De mannen van de macht;Description unavailable;https://www.imdb.com/title/tt0241704/;['Comedy', 'News'];6.4;5;Unknown;
Men Behaving Badly;Men Behaving Badly is a TV series starring Martin Clunes, Caroline Quentin, and Leslie Ash. Two early thirties best friends live together while having completely different personalities. While their girlfriends try to help them take...;https://www.imdb.com/title/tt0241714/;Comedy;7.7;7393;1992-02-18;
In Defence;Description unavailable;https://www.imdb.com/title/tt0241565/;Genre Unknown;7.2;8;2000-06-26;
Het geheim van Killary Harbour;Description unavailable;https://www.imdb.com/title/tt0241477/;['Family', 'Adventure'];No Rating;Total Rating Count N/A;1960-09-28;
Doctors;Doctors is a TV series starring Adrian Lewis Morgan, Jan Pearson, and Diane Keen. The daily lives of staff at a Birmingham medical practice, including their often dramatic involvements with their patients.;https://www.imdb.com/title/tt0241383/;Drama;4.7;1130;2000-03-26;
Brak Presents the Brak Show Starring Brak;Brak Presents the Brak Show Starring Brak is a TV series starring George Lowe, Andy Merrill, and C. Martin Croker. A variety show musical spectacular with Brak and the gang.;https://www.imdb.com/title/tt0241270/;['Animation', 'Comedy'];6.5;246;2000-02-20;
Nana;Nana is a TV series starring Barbara Topsøe-Rothenborg, Jesper Christensen, and Katrine Jensenius. A Danish show based on the humorous events in Nana and her dad's life.;https://www.imdb.com/title/tt0241120/;['Comedy', 'Family'];8.2;389;1988-10-22;
Music with Roots in the Aether: Opera for Television by Robert Ashley;Description unavailable;https://www.imdb.com/title/tt0241119/;Music;6.0;6;Unknown;
A Mulher Que Amou Demais;Description unavailable;https://www.imdb.com/title/tt0241118/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
La mujer en el espejo;La mujer en el espejo is a TV series starring Géraldine Zivic, Salvatore Basile, and Marcela Benjumea. After being humiliated and mistreated, Ana Soler discovers who her father is and the pact she has made with the devil, and agrees...;https://www.imdb.com/title/tt0241117/;['Family', 'Fantasy', 'Romance'];6.7;16;Unknown;
Maigret;Maigret is a TV series starring Wies Andersen, Jan Teulings, and Lies de Wind. Jules Maigret, a law enforcement personnel, comes up with cunning plans to capture criminals and deliver justice.;https://www.imdb.com/title/tt0241115/;['Crime', 'Drama'];8.4;52;1964-10-23;
The Mad Death;The Mad Death is a TV mini-series starring Richard Heffer, Barbara Kellerman, and Richard Morant. Britain is gripped by the "mad death", an outbreak of rabies, after an afflicted pet cat is illegally smuggled into the country.;https://www.imdb.com/title/tt0241114/;['Drama', 'Horror'];7.2;84;1983-07-16;
Leche;Description unavailable;https://www.imdb.com/title/tt0241113/;Genre Unknown;8.0;26;Unknown;
Klauss, o Loiro;Description unavailable;https://www.imdb.com/title/tt0241112/;Genre Unknown;No Rating;Total Rating Count N/A;1963-02-08;
Julius;Description unavailable;https://www.imdb.com/title/tt0241111/;Genre Unknown;4.7;11;Unknown;
A Única Verdade;Description unavailable;https://www.imdb.com/title/tt0241138/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Zo goed als nieuw;Description unavailable;https://www.imdb.com/title/tt0241137/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Yo amo a Paquita Gallego;Yo amo a Paquita Gallego is a TV series starring Victoria Góngora, Andrés Juan Hernández, and Cristina Umaña. Paquita Gallego is a beautiful young woman since the day of his birth has not cried. Paquita live thousands of tragedies...;https://www.imdb.com/title/tt0241136/;Drama;7.8;130;1997-12-22;
The Web;The Web is a TV series starring Sofie Formica. One of several spin-offs of the series CNet Central in the mid/late '90s, The Web focused on news stories surrounding the Internet and Internet culture.;https://www.imdb.com/title/tt0241135/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
La viuda de Blanco;Description unavailable;https://www.imdb.com/title/tt0241134/;['Drama', 'Romance'];7.6;174;Unknown;
Vic Singel;Description unavailable;https://www.imdb.com/title/tt0241133/;['Action', 'Thriller'];No Rating;Total Rating Count N/A;1970-11-01;
Un enfant dans la tourmente;Description unavailable;https://www.imdb.com/title/tt0241132/;Genre Unknown;No Rating;Total Rating Count N/A;1990-04-01;
Terror nas Trevas;Description unavailable;https://www.imdb.com/title/tt0241131/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
TV.com;TV.com is a TV series starring Brian Linder, Sofie Formica, and Ron Reagan. Hari Sreenivasan and Wendy Walsh provide perspective, insight, and context on the latest Internet trends, the newest forms of e-commerce, and the companies...;https://www.imdb.com/title/tt0241130/;News;No Rating;Total Rating Count N/A;Unknown;
Solar Paraíso;Description unavailable;https://www.imdb.com/title/tt0241129/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Les shadoks;Les shadoks is a TV series starring Claude Piéplu. Animated birds, characterized by stupidity and ruthlessness, search for a new home on a changing planet.;https://www.imdb.com/title/tt0241128/;['Animation', 'Comedy'];7.9;156;1968-04-29;
Les shadoks;Les shadoks is a TV series starring Claude Piéplu. Animated birds, characterized by stupidity and ruthlessness, search for a new home on a changing planet.;https://www.imdb.com/title/tt0241127/;['Animation', 'Comedy'];7.9;156;1968-04-29;
Search Party;Search Party is a TV series starring Art Mann, Kevin Spirtas, and Rachel Blakely. Celebrity guests and E! network viewers travel to exotic beach resort locations and team up to compete in crazy athletic events and off-the-wall...;https://www.imdb.com/title/tt0241126/;Game-Show;7.0;14;1999-11-27;
Prelúdio, A Vida de Chopin;Description unavailable;https://www.imdb.com/title/tt0241125/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Nukkad;Nukkad is a TV series starring Dilip Dhawan, Sangeeta Naik, and Shreechand Makhija. Kundan Shah's Nukkad dealt with the struggles of the lower income labor class in cities.;https://www.imdb.com/title/tt0241124/;['Comedy', 'Drama'];8.2;207;Unknown;
A Noite Eterna;Description unavailable;https://www.imdb.com/title/tt0241123/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Nightcap;Description unavailable;https://www.imdb.com/title/tt0241122/;['Comedy', 'Talk-Show'];No Rating;Total Rating Count N/A;Unknown;
The New Edge;Description unavailable;https://www.imdb.com/title/tt0241121/;Genre Unknown;No Rating;Total Rating Count N/A;1996-06-20;
Kikkebakke boligby;Kikkebakke boligby is a TV series starring Gotha Andersen, Lily Broberg, and Frits Helmuth. Advent calender about the life of the puppets in Boligby;https://www.imdb.com/title/tt0241110/;['Family', 'Animation'];6.6;49;1977-12-01;
Intezzar;Description unavailable;https://www.imdb.com/title/tt0241109/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
ITV Evening News;ITV Evening News is a TV series starring Mary Nightingale, Lucy Verasamy, and Alex Beresford. News and weather broadcast at 6:30pm on Monday-Friday.;https://www.imdb.com/title/tt0241108/;News;4.5;47;1999-03-08;
La guerra de las Rosas;La guerra de las Rosas is a TV series starring Natalia Betancurt, Luigi Aycardi, and Catherine Siachoque. Two women named Rosa Rosa María and Rosa Emilia dispute the love of Ricardo Díaz.;https://www.imdb.com/title/tt0241107/;['Drama', 'Romance'];6.9;28;Unknown;
Greta och Albert;Description unavailable;https://www.imdb.com/title/tt0241106/;Genre Unknown;No Rating;Total Rating Count N/A;1958-09-06;
Goenkale;Goenkale is a TV series starring Joseba Usabiaga, Ylenia Baglietto, and Tanya De Roberto. Goinkale is a Vasc TV comedia;https://www.imdb.com/title/tt0241105/;['Comedy', 'Drama', 'Family', 'Romance'];5.7;23;Unknown;
Fuego verde;Fuego verde is a TV series starring Birgit Bofarull, Paola Rey, and Gustavo Angarita Jr.. Fuego Verde (Green Fire) was written by American journalist Thomas Quinn and the writer Benjamin " Ben" Odell, who according to sources from...;https://www.imdb.com/title/tt0241104/;Drama;8.1;8;Unknown;
The Frame;Description unavailable;https://www.imdb.com/title/tt0241102/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
The Flumps;The Flumps is a TV series starring Gay Soper. The adventures of a family of cute, furry creatures - The Flumps. Grandpa Flump, Ma and Pa Flump, their eldest son Perkin, daughter Posie and youngest son Pootle. Each episode contains...;https://www.imdb.com/title/tt0241101/;['Animation', 'Family'];7.5;185;1977-02-14;
Caiga quien caiga;Caiga quien caiga is a TV series starring El Gran Wyoming, Juanjo de la Iglesia, and Javier Martín. Reality changes depending on how you see it. CQC has its own way of seeing things. "Caiga Quien Caiga" is a weekly news roundup that...;https://www.imdb.com/title/tt0241090/;News;7.1;194;1996-05-10;
Aus gutem Haus;Aus gutem Haus is a TV series starring Janette Rauch, Rike Schmid, and Maximilian Haas. Marlene Seeler has three children but no husband. The divorced father Klaus Engelhe is again married, still admires Marlene and his daughter....;https://www.imdb.com/title/tt0241089/;Family;6.9;7;2000-03-06;
Da Ali G Show;Da Ali G Show is a TV series starring Sacha Baron Cohen, Steve Ellington, and T.N.T. Crew. Comedian Sacha Baron Cohen appears as Ali G, a rapper-wannabe from Staines. Ali G has his own TV show, where he interviews people on serious...;https://www.imdb.com/title/tt0241088/;['Comedy', 'Talk-Show'];7.9;16470;2000-03-30;
The Fantastic Four;The Fantastic Four is a TV series starring Mike Road, Ginny Tyler, and Ted Cassidy. The super-elastic Mr. Fantastic, the force field-wielding Invisible Girl, the orange rock-covered Thing and the data-crammed robot H.E.R.B.I.E. make...;https://www.imdb.com/title/tt0241100/;['Animation', 'Sci-Fi'];6.1;801;1978-09-09;
A Estranha Clementine;Description unavailable;https://www.imdb.com/title/tt0241099/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Esta noche cruzamos el Mississippi;Description unavailable;https://www.imdb.com/title/tt0241098/;Talk-Show;6.0;17;1995-09-18;
Crónicas marcianas;Crónicas marcianas is a TV series starring Javier Sardà, Martí Galindo, and Daniela Blume. Presented by former radio commentator Javier Sardá and a midget named "Señor Galindo", this hyperbolic and weird version of the American...;https://www.imdb.com/title/tt0241097/;['Comedy', 'Talk-Show'];4.5;75;Unknown;
Cosas del amor;Cosas del amor is a TV series starring Maricarmen Regueiro, Diego Bertie, and Katia Condos. Valeria Castro Iglesias, hija del prestigioso empresario, Leonardo Castro Iglesias, se enamora de Chalo, un hobrero en la fabrica de su...;https://www.imdb.com/title/tt0241096/;Drama;8.2;30;1999-06-01;
Corazón prohibido;Description unavailable;https://www.imdb.com/title/tt0241095/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Conflito;Description unavailable;https://www.imdb.com/title/tt0241094/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
As Chaves do Reino;Description unavailable;https://www.imdb.com/title/tt0241093/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Chamas Que Não Se Apagam;Description unavailable;https://www.imdb.com/title/tt0241092/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
La caponera;Description unavailable;https://www.imdb.com/title/tt0241091/;Mystery;5.5;23;Unknown;
Trooping the Colour;Trooping the Colour is a TV series starring King George VI, Prince Charles, and Prince Harry. Each year, with almost no exceptions, the British Sovereign (King or, as presently, reigning Queen) celebrates His/Her 'official birthday'...;https://www.imdb.com/title/tt0240998/;Documentary;6.4;8;1939-06-08;
Space Age;Space Age is a TV series starring Patrick Stewart, George Ceres, and Kirsten Devere. Space is no longer a new frontier: It's a vital part of our world. Each fascinating program gives an eye-opening view of the way space exploration...;https://www.imdb.com/title/tt0240915/;Documentary;8.0;22;Unknown;
Scénarios sur la drogue;Description unavailable;https://www.imdb.com/title/tt0240886/;['Drama', 'Mystery'];5.7;102;2000-02-21;
Rude Dog and the Dweebs;Rude Dog and the Dweebs is a TV series starring Rob Paulsen, Dave Coulier, and Peter Cullen. Rude dog drove around in a pink Cadillac through Beverly Hills, trying to avoid a dogcatcher and getting into trouble with other dogs.;https://www.imdb.com/title/tt0240873/;['Animation', 'Comedy', 'Family'];6.6;172;1989-09-16;
Hype;Hype is a TV series starring Jennifer Elise Cox, Nadya Ginsburg, and Steve Kramer. Various comedy sketches parody celebrities and pop cultural and political topics.;https://www.imdb.com/title/tt0240596/;Comedy;5.3;22;2000-10-08;
Heppoko jikken animêshon excel saga;Heppoko jikken animêshon excel saga is a TV series starring Kotono Mitsuishi, Takehito Koyasu, and Jason Douglas. Ilpalazzo wants one thing: to rule world so he can better it. Excel just wants to help. Too bad she sucks at her job.;https://www.imdb.com/title/tt0240493/;['Animation', 'Comedy', 'Drama', 'Sci-Fi'];7.5;1286;1999-10-07;
Where the Action Is;Where the Action Is is a TV series starring Steve Alaimo, Paul Revere & The Raiders, and Dick Clark. A Rock and Roll Variety Show toured over the United States and briefly around the world for the Spring and Fall Months except for...;https://www.imdb.com/title/tt0240305/;Music;7.9;59;1965-06-27;
Wat Tamari;Description unavailable;https://www.imdb.com/title/tt0240304/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Unser Pauker;Description unavailable;https://www.imdb.com/title/tt0240303/;Comedy;8.1;50;1965-09-21;
Thursday Night Live;Thursday Night Live is a TV series starring Nicky Campbell, Andrew Neil, and Kim Clifford. Debate show A national version of Central Weekend (1986);https://www.imdb.com/title/tt0240302/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
The Three Musketeers;The Three Musketeers is a TV mini-series starring Jeremy Brett, Brian Blessed, and Jeremy Young. Naive but avid for adventure, young D'Artagnan travels from Gascony to Paris in 1625 to become a Musketeer like his father. He is at...;https://www.imdb.com/title/tt0240301/;Drama;7.7;69;1966-11-13;
Zaprásené histórie;Description unavailable;https://www.imdb.com/title/tt0240245/;Genre Unknown;No Rating;Total Rating Count N/A;1973-12-29;
La malquerida;Description unavailable;https://www.imdb.com/title/tt0240280/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Låt stå!;Låt stå! is a TV series starring Anna-Maria Käll, Gustaf Hammarsten, and Ia Langhammer. Tove is a teacher who tries to cope with her very eccentric co-workers.;https://www.imdb.com/title/tt0240279/;Comedy;No Rating;Total Rating Count N/A;2000-03-19;
The Lost World;The Lost World is a TV series starring Peter McCauley, Rachel Blakely, and Jennifer O'Dell. The adventures of a band of explorers stranded in a mysterious land inhabited by dinosaurs and other dangers.;https://www.imdb.com/title/tt0240278/;['Action', 'Adventure', 'Sci-Fi'];7.2;3676;1999-04-03;
Lifeline;Description unavailable;https://www.imdb.com/title/tt0240277/;Genre Unknown;6.6;15;Unknown;
Kuda idu divlje svinje;Kuda idu divlje svinje is a TV series starring Ljubisa Samardzic, Fabijan Sovagovic, and Ivo Serdar. It happens around Zagreb in 1941-1943, during World War II. Two groups of smugglers led by Crni Rok and Veriga, fight for supremacy...;https://www.imdb.com/title/tt0240276/;['Crime', 'Drama', 'War', 'Western'];8.3;349;1971-04-28;
Janguru taitei;Janguru taitei is a TV series starring Yvonne Murray, Sonia Owens, and Gorô Naya. The adventures of a brave and optimistic little white lion, moral leader for good animals in a jungle surrounded by dangers.;https://www.imdb.com/title/tt0240275/;['Animation', 'Adventure', 'Family'];7.0;913;1965-01-01;
De jaren van verstand;Description unavailable;https://www.imdb.com/title/tt0240274/;Game-Show;No Rating;Total Rating Count N/A;Unknown;
Jam;Jam is a TV mini-series starring Christopher Morris, Amelia Bullmore, and David Cann. A surreal, ambient mix of bleak comedy sketches.;https://www.imdb.com/title/tt0240273/;Comedy;8.4;2260;2000-03-23;
It's Showtime at the Apollo;Description unavailable;https://www.imdb.com/title/tt0240272/;['Comedy', 'Music'];6.0;126;1987-09-12;
Internet Tonight;Internet Tonight is a TV series starring Scott Herriott, Michaela Pereira, and Roger Glover. Scott Herriott & Michaela Pereira showcase the best of the web.;https://www.imdb.com/title/tt0240271/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Talking TV;Description unavailable;https://www.imdb.com/title/tt0240300/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
TV Talkback;Description unavailable;https://www.imdb.com/title/tt0240299/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Sozinho no Mundo;Description unavailable;https://www.imdb.com/title/tt0240298/;Genre Unknown;No Rating;Total Rating Count N/A;1963-02-13;
Un solo corazón;Description unavailable;https://www.imdb.com/title/tt0240297/;['Drama', 'Romance'];No Rating;Total Rating Count N/A;Unknown;
Silicon Spin;Silicon Spin is a TV series starring Kevin Surace, Paul Levinson, and Stephen Monaco. John C. Dvorak discusses daily topics about the tech world with 4 guests.;https://www.imdb.com/title/tt0240296/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
The Screen Savers;The Screen Savers is a TV series starring Leo Laporte, Patrick Norton, and Daniel Hanttula. Tech Gurus answers your computer questions.;https://www.imdb.com/title/tt0240295/;Talk-Show;8.6;235;Unknown;
Schipper naast Mathilde;Description unavailable;https://www.imdb.com/title/tt0240294/;Comedy;6.7;17;1955-05-10;
Retrato de Mulher;Description unavailable;https://www.imdb.com/title/tt0240293/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Pobol y Cwm;Pobol y Cwm is a TV series starring Gwenfair Vaughan, Rhys Parry Jones, and Dan Broderick. A Welsh-language TV soap (the longest running BBC television soap) set in the small Welsh town of Cwmderi, in the heart of the South Wales...;https://www.imdb.com/title/tt0240291/;Drama;7.8;79;1974-10-16;
De notenclub;Description unavailable;https://www.imdb.com/title/tt0240290/;Music;3.7;6;Unknown;
Wie wordt multimiljonair;Wie wordt multimiljonair is a TV series starring Betty Owczarek, Mathias Sercu, and Walter Grootaers. The Belgian version of the hit television quiz show, "Who Wants to be a Millionaire?" Starting with easy multiple-choice questions...;https://www.imdb.com/title/tt0240289/;Game-Show;6.3;7;Unknown;
La mujer del presidente;La mujer del presidente is a TV series starring Robinson Díaz, Juan Carlos Vargas, and Adelaida Otálora. Carlos Alberto Buendia is an ordinary man, good husband and worker whose life changes to be seduced by Susana de Acero, wife of...;https://www.imdb.com/title/tt0240288/;['Crime', 'Drama', 'Mystery'];8.7;76;1997-07-17;
Mr. Yogi;Mr. Yogi is a TV series starring Pallavi Joshi, Chandrakant Thakkar, and Mohan Gokhale. It is a story of an USA settled Indian boy trying to arrange his marriage in India.;https://www.imdb.com/title/tt0240287/;Comedy;7.6;87;Unknown;
Die Motorrad-Cops: Hart am Limit;Description unavailable;https://www.imdb.com/title/tt0240286/;['Crime', 'Action'];5.4;70;2000-03-30;
The Morecambe & Wise Show;The Morecambe & Wise Show is a TV series starring Eric Morecambe, Ernie Wise, and Frank Coda. The Morecambe and Wise Show was a comedy sketch show originally broadcast by BBC television and the third TV series by English comedy...;https://www.imdb.com/title/tt0240285/;Comedy;7.9;817;1978-10-18;
Met andere woorden;Description unavailable;https://www.imdb.com/title/tt0240284/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Me llaman Lolita;Me llaman Lolita is a TV series starring Marcelo Cézan, Marcela Gallego, and Carla Giraldo. Lolita is an attractive girl who has been in love with Esteban, a man older than her, who could be her own father.;https://www.imdb.com/title/tt0240283/;Drama;8.2;47;1999-01-05;
Max und Moritz;Description unavailable;https://www.imdb.com/title/tt0240282/;['Animation', 'Family'];6.9;8;Unknown;
Marido y mujer;Marido y mujer is a TV series starring Adriana Arango, Jairo Camargo, and Robinson Díaz. Juan Pablo and Lucia look like the perfect marriage, unaware that Isabel de Duque, the mother of Juan Pablo, was never agree with such binding...;https://www.imdb.com/title/tt0240281/;Genre Unknown;6.9;8;Unknown;
In Exile;In Exile is a TV series starring Patrice Naiambana, Fraser James, and Emily Joyce. Comedy series about a deposed African military dictator living in London.;https://www.imdb.com/title/tt0240270/;Comedy;7.9;16;1998-01-14;
